tweet_id,username,text,created_at,location,source,url
1554482340314890243,nero_ani,War devil has no chill  😭 https://t.co/axqwG1TRU3,2022-08-02 15:00:45+00:00,He/Him | 23,Twitter for Android,https://twitter.com/nero_ani/status/1554482340314890243
1554482162476503041,shonenjump,"Chainsaw Man, Ch. 101: Asa and Yuko quickly become buddies, but the War Devil has other plans for this new-found friendship…Read it FREE from the official source! https://t.co/e01lXj7fpY https://t.co/EcSqGN0mqU",2022-08-02 15:00:03+00:00,"San Francisco, CA",Twitter Media Studio,https://twitter.com/shonenjump/status/1554482162476503041
1554473788267708421,Saoirseen,"Just you wait, chainsaw man!
#wardevil #chainsawman https://t.co/LfX8SggCX2",2022-08-02 14:26:46+00:00,she/her ,Twitter for iPad,https://twitter.com/Saoirseen/status/1554473788267708421
1554471548840460289,Murlrlr,"1 hour till the new chapter! 
War Devil fanart by me
#chainsawman #chainsawmanfanart https://t.co/6V0xoWsud5",2022-08-02 14:17:52+00:00,,Twitter Web App,https://twitter.com/Murlrlr/status/1554471548840460289
1554448995728105475,kumow_kw,"The war devil
#chainsawman #chainsawman2 https://t.co/Hhs2z7Vupz",2022-08-02 12:48:15+00:00,,Twitter for Android,https://twitter.com/kumow_kw/status/1554448995728105475
1554443939993866245,bopbopskidoo,"Bros, I gotta animate that new Chainsaw Man protag to Command and Control from Doom, I NEED TO DO IT. IMAGINE LIKE SOME KIND OF LOOP ANIMATION OF HER DOING A POSE WITH THE WAR DEVIL VERS BEHIND HER. I HAVE BEEN GIVEN A VISION AND I NEED TO ACT ON IT AHHHGHHH https://t.co/0xW7bPDwOr",2022-08-02 12:28:10+00:00,Tired. Very tired 🙃,Twitter Web App,https://twitter.com/bopbopskidoo/status/1554443939993866245
1554443360311472128,TONIdachi,"#chainsawman 
""So you're the war devil?""

""N-No...""                                  ""Yes."" https://t.co/Y1mu9udrQX",2022-08-02 12:25:51+00:00,,Twitter Web App,https://twitter.com/TONIdachi/status/1554443360311472128
1554596786378944512,VESSELFORWAR,"https://t.co/1WhRfJagi0

Tik tok has ruined anything perceptive of Asa / war devil for me because people don’t understand that Asa is a minor and the war devil is in a minors body https://t.co/WW9nhm4C8m",2022-08-02 22:35:31+00:00,,Twitter for iPhone,https://twitter.com/VESSELFORWAR/status/1554596786378944512
1554596649661595649,thestarlightc,Just finished reading the latest chainsaw man chapter. I'm wondering why the war devil is so weak (from what we've seen of them so far) 🤔 I've read a couple of theories that it's bc of Chainsaw man which I guess makes Yoru's hatred of him make sense,2022-08-02 22:34:58+00:00,The Starlight Express,Twitter for Android,https://twitter.com/thestarlightc/status/1554596649661595649
1554596012999704577,92narukami,So we have a new name for War Devil. Yoru. Asa and Yoru. I like it.,2022-08-02 22:32:27+00:00,Inaba,Twitter for iPhone,https://twitter.com/92narukami/status/1554596012999704577
